Date,Stock,Open,High,Low,Close,Volume,SMA_50,Close_Lag_1,Close_Lag_3,Close_Lag_7,SMA_7,SMA_30,Daily_Return
2024-01-02,AAPL,184.53208923339844,187.31538170646215,182.79253333369908,186.03307200647276,82488700,,,,,,,
2024-01-02,AMZN,149.92999267578125,152.3800048828125,148.38999938964844,151.5399932861328,47339400,,,,,,,
2024-01-02,GOOGL,137.67092895507812,138.94630438637614,135.9870307924664,138.0495612625078,23711200,,,,,,,
2024-01-02,MSFT,367.3805847167969,372.3632576668665,363.3191544056819,370.3424429826701,25258600,,,,,,,
2024-01-02,TSLA,248.4199981689453,251.25,244.41000366210938,250.0800018310547,104654200,,,,,,,
2024-01-03,AAPL,183.150390625,184.77066759112085,182.3352771284137,183.1205708792931,58414500,,186.03307200647276,,,,,-0.015655824503496563
2024-01-03,AMZN,148.47000122070312,151.0500030517578,148.3300018310547,149.1999969482422,49425500,,151.5399932861328,,,,,-0.015441444117476721
2024-01-03,GOOGL,138.41822814941406,139.12567036509972,136.58487775890734,136.75426190549678,24212100,,138.0495612625078,,,,,-0.009382857469195094
2024-01-03,MSFT,367.1131591796875,369.7481357898977,365.04282689247566,365.5381225658885,23083500,,370.3424429826701,,,,,-0.012972643313816423
2024-01-03,TSLA,238.4499969482422,245.67999267578125,236.32000732421875,244.97999572753906,121082600,,250.0800018310547,,,,,-0.020393498345225636
2024-01-04,AAPL,180.82435607910156,181.99730650228184,179.80050438167336,181.06291404030495,71983600,,183.1205708792931,,,,,-0.011236623111799293
2024-01-04,AMZN,144.57000732421875,147.3800048828125,144.0500030517578,145.58999633789062,56039800,,149.1999969482422,,,,,-0.02419571504149476
2024-01-04,GOOGL,135.89735412597656,138.65735304986882,135.85750529693797,137.92002048142746,27137700,,136.75426190549678,,,,,0.008524477114550733
2024-01-04,MSFT,364.4781799316406,369.5896348719219,363.71543548306664,367.1825051718643,20901500,,365.5381225658885,,,,,0.004498525610497461
2024-01-04,TSLA,237.92999267578125,242.6999969482422,237.72999572753906,239.25,102629300,,244.97999572753906,,,,,-0.023389647430281713
2024-01-05,AAPL,180.09869384765625,181.6692660827433,179.09472708075188,180.90387243418792,62303300,,181.06291404030495,186.03307200647276,,,,-0.0008783775902425628
2024-01-05,AMZN,145.24000549316406,146.58999633789062,144.52999877929688,144.69000244140625,45124800,,145.58999633789062,151.5399932861328,,,,-0.006181701484459401
2024-01-05,GOOGL,135.23974609375,136.66458891457754,134.66183919892327,136.25606616421598,22506000,,137.92002048142746,138.0495612625078,,,,-0.0120646321788761
2024-01-05,MSFT,364.28997802734375,368.559424433647,363.0517388090319,365.4985007136341,20987000,,367.1825051718643,370.3424429826701,,,,-0.0045862872944940625
2024-01-05,TSLA,237.49000549316406,240.1199951171875,234.89999389648438,236.86000061035156,92379400,,239.25,250.0800018310547,,,,-0.009989548128102155
2024-01-08,AAPL,184.4525604248047,184.49233019548157,180.41679326133186,181.0032684531674,59144500,,180.90387243418792,183.1205708792931,,,,0.0005494410796300642
2024-01-08,AMZN,149.10000610351562,149.39999389648438,146.14999389648438,146.74000549316406,46757100,,144.69000244140625,149.1999969482422,,,,0.014168242568023848
2024-01-08,GOOGL,138.33851623535156,138.50790038311104,135.76783318574974,135.79772361160872,21404000,,136.25606616421598,136.75426190549678,,,,-0.003363832271914169
2024-01-08,MSFT,371.1646728515625,371.66988411040546,365.53812127674354,365.8253710003868,23134000,,365.4985007136341,365.5381225658885,,,,0.0008943136185632916
2024-01-08,TSLA,240.4499969482422,241.25,235.3000030517578,236.13999938964844,85166600,,236.86000061035156,244.97999572753906,,,,-0.003039775474321549
