Date,Stock,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_10,EMA_50,Close_Lag_1,Close_Lag_3,Close_Lag_7,Close_Lag_14,RSI_14,Bollinger_High,Bollinger_Low,Volatility
2024-03-13,AAPL,170.3257598876953,172.37607625258147,169.95748841772314,171.9580519129805,52488700,172.7642308535309,182.75671997821445,173.2153001669464,180.91667735394418,172.3362371923594,168.20576217934803,175.3221528407019,182.6177232415446,36.20851150296751,188.5688488024802,166.37117629688436,2.4185878348583287
2024-03-14,AAPL,172.1869659423828,173.49080701178275,171.2414336176872,172.0973925529764,72913500,171.9321597426771,182.47800638914453,173.01204423713367,180.57082304802387,171.9580519129805,172.12725037151972,169.9574719243141,184.1405042298665,36.60997886303056,187.70093668596408,166.00392160619347,2.2493733940955565
2024-03-15,AAPL,171.80873107910156,171.80873107910156,169.4896795825833,170.36554869703198,121664700,171.09809711968032,182.2229059454993,172.53086322984242,180.17061621073006,172.0973925529764,172.3362371923594,170.256065044738,181.38353517321784,33.76565949590821,187.0889139912037,165.38376064867828,2.319051496518256
2024-03-18,AAPL,172.90357971191406,176.87483361469177,172.70452267737835,174.7448914522954,75604200,171.04037098083967,182.09654549373911,172.93341381574297,179.95784269079147,170.36554869703198,171.9580519129805,168.35503848083317,180.24888975946536,45.33202154088208,186.31565249228103,165.375714300885,4.170310937313417
2024-03-19,AAPL,175.2524871826172,175.77999515234478,172.2168180823409,173.52065910891577,55215200,171.39668969929983,181.94888122723364,173.04018568722893,179.70540411895323,174.7448914522954,172.0973925529764,168.20576217934803,181.65227187035532,43.06786473216638,185.7204234330026,165.22944518120667,3.5631770700038885
2024-03-20,AAPL,177.83030700683594,177.83030700683594,174.2671300256647,174.89417408943874,53423100,171.86050060376994,181.82669933995908,173.3772744876307,179.51672843152127,173.52065910891577,170.36554869703198,172.12725037151972,180.4181036615144,46.30801470551458,185.0830440700865,165.24774580095522,3.563176981171239
2024-03-21,AAPL,170.56460571289062,176.65585381045534,170.037097774542,176.21791925324277,106181300,172.64678868101086,181.69461083361975,173.89375535410562,179.38736336570645,174.89417408943874,174.7448914522954,172.3362371923594,178.70617492699984,49.30268014047761,184.17623061044242,165.5145788617691,6.61875603591335
2024-03-22,AAPL,171.47035217285156,172.23673773536032,169.26078406375387,170.95279171103329,71106600,172.9214916341794,181.44867104013372,173.35903469172882,179.05659584983692,176.21791925324277,173.52065910891577,171.9580519129805,175.3221528407019,39.79531830126468,182.6166695118358,165.7553687084924,2.9759536716064474
2024-03-25,AAPL,170.0470733642578,171.13194711675715,168.65364374159117,169.76839047714014,54288300,172.68560564474143,181.13550478233432,172.70619028907635,178.69235250188802,170.95279171103329,174.89417408943874,172.0973925529764,169.9574719243141,38.01921868443788,181.55944262414752,165.6510811265729,2.4783033751659787
2024-03-26,AAPL,168.9124298095703,170.61438491064948,168.78303590364706,169.20106023000122,57388400,172.37208794850562,180.8205348242283,172.06889391469903,178.32014496181404,169.76839047714014,176.21791925324277,170.36554869703198,170.256065044738,37.163610349616334,180.60934352762652,165.49639727014753,1.8313490070024159
